,X,Y
58,3655910.165373966,2071458.5794571845
59,3655918.7541517117,2071558.0717351865
60,3655927.3549469667,2071657.3402209114
61,3655935.9225236606,2071756.6123020092
62,3655944.523601644,2071855.8809369039
63,3655953.0914620394,2071955.1531670848
64,3655961.6928227516,2072054.4219511242
65,3655970.2609668477,2072153.694330362
66,3655855.4338689586,2069660.6463380198
67,3655864.0484477924,2069760.3568346614
68,3655872.636899979,2069859.6249590388
69,3655881.2195479274,2069959.0050904127
70,3655889.8082831986,2070058.2733642522
71,3655898.401953943,2070157.7638172563
72,3655906.990972439,2070257.0322406192
73,3655915.5884739244,2070356.2998584716
74,3655924.1610919605,2070455.5701915172
75,3655932.7505346285,2070554.8388388795
76,3655941.3234360944,2070654.1093211917
77,3655949.956120839,2070753.8188080397
78,3655958.5293062935,2070853.0894399374
79,3655967.119315404,2070952.3583861878
80,3655975.692784287,2071051.6291672993
81,3655984.2938166824,2071151.008435683
82,3655992.8675691336,2071250.279366077
83,3656001.4581442657,2071349.548610867
84,3656010.0429209066,2071448.9298635733
85,3656018.633779119,2071548.1992576432
86,3656027.208098563,2071647.4704864316
87,3656035.8505443777,2071747.1798431822
88,3656044.4168078722,2071846.4521014907
89,3656053.0165722133,2071945.7209141653
90,3656061.5914589465,2072044.9924415217
91,3656070.1831664117,2072144.2622833606
92,3655955.372391174,2069651.438046985
93,3655963.9425624185,2069750.70795965
94,3655972.5295600123,2069849.9761868217
95,3655981.1250410834,2069949.2436086203
96,3655989.6980323535,2070048.6247974997
97,3655998.3367455555,2070148.3330574841
98,3656006.8992839763,2070247.6042239983
99,3656015.4953310806,2070346.8719449658
100,3656024.0748362094,2070446.1415006914
101,3656032.6544829146,2070545.4111310663
102,3656041.2342711966,2070644.6808360862
103,3656049.8142010546,2070743.9506157371
104,3656058.39427249,2070843.2204700238
105,3656066.9911673507,2070942.4886389493
106,3656075.5763172656,2071041.9807483333
107,3656084.173495071,2071141.2490666923
108,3656092.7887477605,2071240.9607920086
109,3656101.3969476745,2071340.3394331415
110,3656109.9862094927,2071439.6088557474
111,3656118.558932255,2071538.880112833
112,3656127.1592164086,2071638.2598580716
113,3656135.732222704,2071737.5312643829
114,3656144.3220504755,2071836.8009854204
115,3656063.8607030204,2069741.3920663379
116,3656072.4653241364,2069840.7696886347
117,3656081.051009013,2069940.0380936242
118,3656089.6201511375,2070039.3083331876
119,3656098.206118892,2070138.5768875477
120,3656106.811305613,2070237.9548090778
121,3656115.397556022,2070337.2235129073
122,3656123.988736923,2070436.714396341
123,3656132.5752704884,2070535.9832496655
124,3656141.1834182013,2070635.4725231149
125,3656149.76428887,2070734.8534585012
126,3656158.351247048,2070834.1225360273
127,3656166.946687481,2070933.3908083406
128,3656175.519642693,2071032.772847788
129,3656184.1153658973,2071132.041269448
130,3656192.686208454,2071231.3124052638
131,3656201.2738737175,2071330.5818560156
132,3656209.872417829,2071429.961554783
133,3656218.452025654,2071529.232034642
134,3656227.085464103,2071629.0534569693
135,3656235.6736957086,2071728.3232066245
136,3656244.2453889432,2071827.5947904324
137,3656252.8422431424,2071926.863809467
138,3656163.7801658083,2069731.7437237264
139,3656172.3475698023,2069831.0139163435
140,3656180.9317999263,2069930.2824240057
141,3656189.5805751323,2070030.2120405433
142,3656198.173430624,2070129.4798183122
143,3656206.7330599525,2070228.7511899462
144,3656215.3261980466,2070328.0191170936
145,3656223.9027940747,2070427.2888784774
146,3656232.4795316462,2070526.5587145167
147,3656241.056410762,2070625.8286252045
148,3656249.650113816,2070725.0968510504
149,3656258.2439579265,2070824.3651515623
150,3656266.8045792794,2070923.6370456535
151,3656275.45238279,2071023.456361474
152,3656284.0383105436,2071122.7257660541
153,3656292.6351152374,2071222.105418644
154,3656301.204644798,2071321.3767319527
155,3656309.7909968332,2071420.6463604749
156,3656318.3858303903,2071519.9151839283
157,3656326.9581807978,2071619.2977743892
158,3656306.634668326,2070218.9947753998
159,3656315.218009554,2070318.2636850264
160,3656323.7848089114,2070417.5344286028
161,3656332.4006320937,2070517.134006317
162,3656340.9843978356,2070616.4031401996
163,3656349.568304862,2070715.67234875
164,3656358.1821611933,2070815.1610986823
165,3656366.7496690094,2070914.4322159062
166,3656375.344734033,2071013.8118219052
167,3656383.92086601,2071113.0822088656
168,3656392.513820718,2071212.350911299
169,3656401.081895023,2071311.6223270593
170,3656409.6775261206,2071411.0022319795
171,3656418.3138423497,2071510.7118534106
172,3656426.8990222835,2071609.9817343045
173,3656406.545999545,2070209.6841563878
174,3656415.1576906536,2070309.1726352377
175,3656423.7313775755,2070408.4426022046
176,3656432.321888948,2070507.7108848444
177,3656440.904199997,2070606.9801216642
178,3656449.4949935386,2070706.248553664
179,3656458.0609047925,2070805.5196987584
180,3656466.686567732,2070905.2298530876
181,3656475.2694445304,2071004.4993888584
182,3656483.8524625953,2071103.768999271
183,3656492.4546949537,2071203.147978521
184,3656501.0379955694,2071302.4177382896
185,3656509.6130970786,2071401.6884521022
186,3656518.1883400977,2071500.9592405201
187,3656526.782797725,2071600.3393981007
188,3656506.458663027,2070200.0410872747
189,3656515.039095069,2070299.3102026272
190,3656523.645903868,2070399.021843799
191,3656532.2266192143,2070498.291108835
192,3656540.8074758113,2070597.5604485455
193,3656549.396814901,2070696.8289835837
194,3656557.9779538787,2070796.0984726348
195,3656566.55089311,2070895.3689156747
196,3656575.1406555865,2070994.6376747033
197,3656600.915569908,2071292.6665060446
198,3656609.5512119215,2071392.487312827
199,3656618.1416807724,2071491.756445665
200,3656626.7239504857,2071591.0265324076
201,3656606.378647117,2070190.73276165
202,3656614.9576248946,2070290.0019799534
203,3656623.5391303524,2070389.382325415
204,3656632.12673236,2070488.6508139325
205,3656640.735932048,2070588.13972395
206,3656649.3154750625,2070687.4092412374
207,3656657.895159311,2070786.6788331906
208,3656666.507171084,2070886.2790207635
209,3656726.6080467463,2071581.3873690066
210,3656586.0519116577,2068790.4576340665
211,3656706.2582638524,2070181.0963820873
212,3656714.914443896,2070280.9139321186
213,3656723.4921086626,2070380.183328228
214,3656732.0782561605,2070479.4519199324
215,3656740.656203243,2070578.7214654218
216,3656749.2259502746,2070677.991964672
217,3656757.812521063,2070777.260780428
218,3656766.399232826,2070876.5296708706
219,3656677.4233844457,2068682.1048389738
220,3656685.9973354754,2068781.3731411041
221,3656746.069002879,2069476.248075433
222,3656754.6524254363,2069575.5160967098
223,3656763.281265755,2069675.335936312
224,3656831.9429388363,2070469.7072614192
225,3656840.527772573,2070568.9760305365
226,3656849.1318138074,2070668.3541691515
227,3656768.7146630613,2068572.9831736553
228,3656777.3037060145,2068672.2497454172
229,3656785.8845460583,2068771.5172709872
230,3656794.4762481786,2068870.8950437338
231,3656803.0406835154,2068970.1644769253
232,3656811.63863327,2069069.4304690638
233,3656820.2438587574,2069169.0296907227
234,3656854.5923304255,2069566.3220848201
235,3656863.1768196593,2069665.701335897
236,3656871.7507279725,2069764.9704887497
237,3657034.937997835,2071652.518553989
238,3657043.5397498384,2071751.7865653327
239,3657052.1166227856,2071851.0572874835
240,3657060.70197663,2071950.327205525
241,3657069.2898574136,2072049.708251937
242,3656868.615671234,2068563.2388560146
243,3656877.229449114,2068662.947977567
244,3656885.819554771,2068762.3257785013
245,3656894.4074256215,2068861.5926030814
246,3656903.000189708,2068961.081605311
247,3656911.57165593,2069060.3503373268
248,3656920.1766358786,2069159.6156288637
249,3656963.104698106,2069656.3988408123
250,3656971.693837049,2069755.6663390086
251,3656980.285495301,2069855.0449640716
252,3657066.147891503,2070848.2853416263
253,3657074.72203904,2070947.5554943548
254,3657083.304668572,2071046.8248430933
255,3657126.260440157,2071543.5023524314
256,3657134.878469118,2071643.2137274025
257,3657143.4537461232,2071742.4844778914
258,3657152.0482278443,2071841.8645994267
259,3657177.8217961052,2072139.8952374884
260,3656959.9760947786,2068454.781161925
261,3656968.545401042,2068554.049622215
262,3656977.1231922233,2068653.3172785917
263,3656985.7094679587,2068752.5841310825
264,3656994.289915229,2068851.9629884425
265,3657002.884816082,2068951.2291119616
266,3657011.463170809,2069050.497067692
267,3657020.0678534303,2069150.207547117
268,3657028.663176845,2069249.4738954129
269,3657080.1593972254,2069845.304446558
270,3657166.064423506,2070838.8737385448
271,3657174.6454572375,2070938.1431155663
272,3657183.2099501975,2071037.4143243008
273,3657217.595625627,2071434.9318200296
274,3657226.1775053646,2071534.2016453769
275,3657234.7619077065,2071633.5825988238
276,3657243.360749495,2071732.8508166084
277,3657251.9347121078,2071832.1217444104
278,3657260.517155614,2071931.391868374
279,3657059.8538490115,2068445.0425494204
280,3657068.4729084806,2068544.7509235903
281,3657077.0683057,2068644.127976887
282,3657085.6364403903,2068743.3966896823
283,3657094.229746818,2068842.662841551
284,3657102.8065068326,2068941.9308253974
285,3657111.402467602,2069041.3081784283
286,3657119.9711662577,2069140.5771905272
287,3657128.5864688866,2069240.063987986
288,3657240.1729438896,2070531.106616297
289,3657265.989452782,2070829.4628437269
290,3657274.5606906605,2070928.7332020835
291,3657283.157092238,2071028.000999944
292,3657291.7202712903,2071127.2723860296
293,3657308.8970964653,2071325.8101119313
294,3657317.469039291,2071425.08084361
295,3657326.0792438453,2071524.5702433172
296,3657334.702689863,2071624.2809466114
297,3657159.7936835927,2068435.8555062234
298,3657168.3767698854,2068535.1224148506
299,3657176.9516530246,2068634.3902767934
300,3657185.5350207128,2068733.6573351116
301,3657194.120900166,2068833.0355196088
302,3657202.7045493876,2068932.3027276727
303,3657211.3252274166,2069032.1226327508
304,3657219.91750203,2069131.3891124509
305,3657228.4932309156,2069230.6574237945
306,3657245.6701397737,2069429.1916356834
307,3657331.5380339744,2070422.6489417772
308,3657365.8765210835,2070819.8349432151
309,3657374.4546450255,2070919.1045259084
310,3657383.071027062,2071018.5927762934
311,3657391.6625278043,2071118.0837364665
312,3657400.2601334527,2071217.4628402318
313,3657408.8388213497,2071316.7327220729
314,3657417.4343308853,2071416.0009221407
315,3657426.0049600294,2071515.2718315308
316,3657434.5864488687,2071614.6529908122
317,3657259.661048663,2068426.009891777
318,3657268.304587817,2068525.826888543
319,3657276.905417598,2068625.203269567
320,3657285.4706440587,2068724.4721876332
321,3657294.0526987496,2068823.7394238876
322,3657302.6265506204,2068923.007613279
323,3657311.2196000144,2069022.385172391
324,3657319.8104200223,2069121.6517549297
325,3657328.3763511805,2069220.9210471227
326,3657336.9674523044,2069320.1877792934
327,3657345.5443792073,2069419.5673945998
328,3657354.157189662,2069519.054623711
329,3657405.682184237,2070114.9941564973
330,3657414.260240224,2070214.3743710408
331,3657422.8527476504,2070313.6418516396
332,3657431.4203706076,2070412.912041508
333,3657465.8232975756,2070810.6475711663
334,3657474.391625913,2070909.9181350705
335,3657482.9851180017,2071009.186139279
336,3657491.5537281786,2071108.456852537
337,3657500.1475013783,2071207.7250061545
338,3657508.716393395,2071306.9958687557
339,3657517.310447703,2071406.26417175
340,3657525.879621559,2071505.5351836637
341,3657368.1920814835,2068516.2033079884
342,3657376.7807444576,2068615.4696190122
343,3657385.380259102,2068714.8461779838
344,3657393.944172207,2068814.1152733539
345,3657402.533256765,2068913.3818090165
346,3657411.1784087215,2069013.310337699
347,3657419.742745322,2069112.5796580093
348,3657428.332252281,2069211.8464186855
349,3657436.9135566307,2069311.1141323203
350,3657445.486658737,2069410.3827988915
351,3657454.0765871378,2069509.6497840106
352,3657462.666655896,2069608.9168439435
353,3657488.404335375,2069906.7219848859
354,3657497.031847423,2070006.5419710095
355,3657505.6142774043,2070105.810283348
356,3657514.196847987,2070205.0786704442
357,3657522.7712174207,2070304.348010344
358,3657531.356441375,2070403.7275994862
359,3657539.9561171555,2070502.994454832
360,3657565.7083114204,2070800.9117903353
361,3657574.2835255857,2070900.1815787281
362,3657582.8993650274,2070999.7810888921
363,3657591.4748611744,2071099.0510269268
364,3657600.0588388187,2071198.3201616702
365,3657608.672727453,2071297.8088436935
366,3657617.2403056305,2071397.079883895
367,3657625.8330457606,2071496.348364911
368,3657485.2971345847,2068705.5549081159
369,3657493.884624779,2068804.8214720564
370,3657502.463911849,2068904.0889888958
371,3657511.045706272,2069003.4676320562
372,3657519.6252747755,2069102.7352986352
373,3657528.204983865,2069202.003040028
374,3657536.8122300375,2069301.379273964
