field_1,X,Y,sea_proximity_1
123,3656132.57527049,2070535.98324967,10996.4150390625
124,3656141.1834182,2070635.47252311,11045.3662109375
125,3656149.76428887,2070734.8534585,11095.0048828125
126,3656158.35124705,2070834.12253603,11145.318359375
127,3656166.94668748,2070933.39080834,11196.2998046875
128,3656175.51964269,2071032.77284779,11247.9384765625
129,3656184.1153659,2071132.04126945,11300.2265625
130,3656192.68620845,2071231.31240526,11352.66015625
131,3656201.27387372,2071330.58185602,11405.1015625
132,3656209.87241783,2071429.96155478,11457.44921875
133,3656218.45202565,2071529.23203464,11510.0009765625
134,3656227.0854641,2071629.05345697,11562.24609375
135,3656235.67369571,2071728.32320662,11614.654296875
136,3656244.24538894,2071827.59479043,11667.0703125
137,3656252.84224314,2071926.86380947,11719.8779296875
138,3656163.78016581,2069731.74372373,10486.7685546875
139,3656172.3475698,2069831.01391634,10559.6083984375
140,3656180.93179993,2069930.28242401,10628.03125
141,3656189.58057513,2070030.21204054,10673.0556640625
142,3656198.17343062,2070129.47981831,10718.8203125
143,3656206.73305995,2070228.75118995,10765.3212890625
144,3656215.32619805,2070328.01911709,10812.544921875
145,3656223.90279407,2070427.28887848,10860.484375
146,3656232.47953165,2070526.55871452,10909.130859375
147,3656241.05641076,2070625.8286252,10958.47265625
148,3656249.65011382,2070725.09685105,11008.501953125
149,3656258.24395793,2070824.36515156,11059.2099609375
150,3656266.80457928,2070923.63704565,11110.5859375
151,3656275.45238279,2071023.45636147,11162.6220703125
152,3656284.03831054,2071122.72576605,11215.0302734375
153,3656292.63511524,2071222.10541864,11267.4453125
154,3656301.2046448,2071321.37673195,11319.98828125
155,3656309.79099683,2071420.64636047,11372.2958984375
156,3656318.38583039,2071519.91518393,11424.732421875
157,3656326.9581808,2071619.29777439,11477.1171875
158,3656306.63466833,2070218.9947754,10677.083984375
159,3656315.21800955,2070318.26368503,10724.697265625
160,3656323.78480891,2070417.5344286,10773.02734375
161,3656332.40063209,2070517.13400632,10822.06640625
162,3656340.98439784,2070616.4031402,10871.8046875
163,3656349.56830486,2070715.67234875,10922.23046875
164,3656358.18216119,2070815.16109868,10973.337890625
165,3656366.74966901,2070914.43221591,11025.11328125
166,3656375.34473403,2071013.81182191,11077.4951171875
167,3656383.92086601,2071113.08220887,11129.8837890625
168,3656392.51382072,2071212.3509113,11182.4560546875
169,3656401.08189502,2071311.62232706,11234.68359375
170,3656409.67752612,2071411.00223198,11287.31640625
171,3656418.31384235,2071510.71185341,11339.51171875
172,3656426.89902228,2071609.9817343,11391.935546875
173,3656406.54599955,2070209.68415639,10589.056640625
174,3656415.15769065,2070309.17263524,10637.064453125
175,3656423.73137758,2070408.4426022,10685.791015625
176,3656432.32188895,2070507.71088484,10735.228515625
177,3656440.9042,2070606.98012166,10785.3662109375
178,3656449.49499354,2070706.24855366,10836.1953125
179,3656458.06090479,2070805.51969876,10887.705078125
180,3656466.68656773,2070905.22985309,10939.88671875
181,3656475.26944453,2071004.49938886,10992.310546875
182,3656483.8524626,2071103.76899927,11044.7421875
183,3656492.45469495,2071203.14797852,11097.16796875
184,3656501.03799557,2071302.41773829,11149.6240234375
185,3656509.61309708,2071401.6884521,11201.943359375
186,3656518.1883401,2071500.95924052,11254.3408203125
187,3656526.78279772,2071600.3393981,11306.7470703125
188,3656506.45866303,2070200.04108727,10501.244140625
189,3656515.03909507,2070299.31020263,10549.650390625
190,3656523.64590387,2070399.0218438,10598.779296875
191,3656532.22661921,2070498.29110884,10648.62109375
192,3656540.80747581,2070597.56044855,10699.1650390625
193,3656549.3968149,2070696.82898358,10750.4013671875
194,3656557.97795388,2070796.09847263,10802.3203125
195,3656566.55089311,2070895.36891567,10854.7177734375
196,3656575.14065559,2070994.6376747,10907.123046875
197,3656600.91556991,2071292.66650604,11064.4716796875
198,3656609.55121192,2071392.48731283,11116.8125
199,3656618.14168077,2071491.75644566,11169.22265625
200,3656626.72395049,2071591.02653241,11221.69921875
201,3656606.37864712,2070190.73276165,10413.6513671875
202,3656614.95762489,2070290.00197995,10462.4619140625
203,3656623.53913035,2070389.38232542,10512
204,3656632.12673236,2070488.65081393,10562.25
205,3656640.73593205,2070588.13972395,10613.205078125
206,3656649.31547506,2070687.40924124,10664.8544921875
207,3656657.89515931,2070786.67883319,10717.1884765625
208,3656666.50717108,2070886.27902076,10769.6015625
209,3656726.60804675,2071581.38736901,11136.88671875
210,3656586.05191166,2068790.45763407,9492.9091796875
211,3656706.25826385,2070181.09638209,10326.283203125
212,3656714.9144439,2070280.91393212,10375.5068359375
213,3656723.49210866,2070380.18332823,10425.455078125
214,3656732.07825616,2070479.45191993,10476.1220703125
215,3656740.65620324,2070578.72146542,10527.494140625
216,3656749.22595027,2070677.99196467,10579.5615234375
217,3656757.81252106,2070777.26078043,10631.974609375
218,3656766.39923283,2070876.52967087,10684.3955078125
219,3656677.42338445,2068682.10483897,9351.48828125
220,3656685.99733548,2068781.3731411,9422.490234375
221,3656746.06900288,2069476.24807543,9912.873046875
222,3656754.65242544,2069575.51609671,9957.2109375
223,3656763.28126576,2069675.33593631,10002.255859375
224,3656831.94293884,2070469.70726142,10390.2421875
225,3656840.52777257,2070568.97603054,10442.0361328125
226,3656849.13181381,2070668.35416915,10494.4228515625
227,3656768.71466306,2068572.98317366,9210.06640625
228,3656777.30370601,2068672.24974542,9281.0732421875
229,3656785.88454606,2068771.51727099,9352.6103515625
230,3656794.47624818,2068870.89504373,9424.666015625
231,3656803.04068352,2068970.16447693,9497.2275390625
232,3656811.63863327,2069069.43046906,9570.283203125
233,3656820.24385876,2069169.02969072,9643.8232421875
234,3656854.59233043,2069566.32208482,9867.8330078125
235,3656863.17681966,2069665.7013359,9913.2802734375
236,3656871.75072797,2069764.97048875,9959.5244140625
237,3657034.93799784,2071652.51855399,10937.744140625
238,3657043.53974984,2071751.78656533,10992.7822265625
239,3657052.11662279,2071851.05728748,11048.3544921875
240,3657060.70197663,2071950.32720553,11104.509765625
241,3657069.28985741,2072049.70825194,11161.2783203125
242,3656868.61567123,2068563.23885601,9139.6572265625
243,3656877.22944911,2068662.94797757,9211.20703125
244,3656885.81955477,2068762.3257785,9283.2822265625
245,3656894.40742562,2068861.59260308,9355.87109375
246,3656903.00018971,2068961.08160531,9428.9619140625
247,3656911.57165593,2069060.35033733,9502.54296875
248,3656920.17663588,2069159.61562886,9576.6025390625
249,3656963.10469811,2069656.39884081,9824.5166015625
250,3656971.69383705,2069755.66633901,9871.1767578125
251,3656980.2854953,2069855.04496407,9918.625
252,3657066.1478915,2070848.28534163,10428.908203125
253,3657074.72203904,2070947.55549435,10481.388671875
254,3657083.30466857,2071046.82484309,10533.7646484375
255,3657126.26044016,2071543.50235243,10799.3642578125
256,3657134.87846912,2071643.2137274,10854.1806640625
257,3657143.45374612,2071742.48447789,10909.5888671875
258,3657152.04822784,2071841.86459943,10965.54296875
259,3657177.82179611,2072139.89523749,11137.10546875
260,3656959.97609478,2068454.78116193,8998.240234375
261,3656968.54540104,2068554.04962222,9069.802734375
262,3656977.12319222,2068653.31727859,9141.8994140625
263,3656985.70946796,2068752.58413108,9214.517578125
264,3656994.28991523,2068851.96298844,9287.6435546875
265,3657002.88481608,2068951.22911196,9361.267578125
266,3657011.46317081,2069050.49706769,9435.3759765625
267,3657020.06785343,2069150.20754712,9509.958984375
268,3657028.66317684,2069249.47389541,9555.62890625
269,3657080.15939723,2069845.30444656,9830.9267578125
270,3657166.06442351,2070838.87373854,10343.9892578125
271,3657174.64545724,2070938.14311557,10396.130859375
272,3657183.2099502,2071037.4143243,10448.5498046875
273,3657217.59562563,2071434.93182003,10661.0625
274,3657226.17750536,2071534.20164538,10715.654296875
275,3657234.76190771,2071633.58259882,10770.892578125
276,3657243.3607495,2071732.85081661,10826.6396484375
277,3657251.93471211,2071832.12174441,10883.01953125
278,3657260.51715561,2071931.39186837,10940.0244140625
279,3657059.85384901,2068445.04254942,8928.3994140625
280,3657068.47290848,2068544.75092359,9000.5185546875
281,3657077.0683057,2068644.12797689,9073.1650390625
282,3657085.63644039,2068743.39668968,9146.3291015625
283,3657094.22974682,2068842.66284155,9219.99609375
284,3657102.80650683,2068941.9308254,9294.1552734375
285,3657111.4024676,2069041.30817843,9368.794921875
286,3657119.97116626,2069140.57719053,9422.2109375
287,3657128.58646889,2069240.06398799,9465.677734375
288,3657240.17294389,2070531.1066163,10101.3525390625
289,3657265.98945278,2070829.46284373,10258.5830078125
290,3657274.56069066,2070928.73320208,10310.9755859375
291,3657283.15709224,2071028.00099994,10363.3740234375
292,3657291.72027129,2071127.27238603,10416.0703125
293,3657308.89709647,2071325.81011193,10522.84375
294,3657317.46903929,2071425.08084361,10577.205078125
295,3657326.07924385,2071524.57024332,10632.2265625
296,3657334.70268986,2071624.28094661,10687.802734375
297,3657159.79368359,2068435.85550622,8859.138671875
298,3657168.37676989,2068535.12241485,8931.8154296875
299,3657176.95165302,2068634.39027679,9005.0166015625
300,3657185.53502071,2068733.65733511,9078.7294921875
301,3657194.12090017,2068833.03551961,9152.9404296875
302,3657202.70454939,2068932.30272767,9227.638671875
303,3657211.32522742,2069032.12263275,9289.0283203125
304,3657219.91750203,2069131.38911245,9332.0439453125
305,3657228.49323092,2069230.65742379,9375.9296875
306,3657245.67013977,2069429.19163568,9466.1044921875
307,3657331.53803397,2070422.64894178,9963.7509765625
308,3657365.87652108,2070819.83494322,10173.421875
309,3657374.45464503,2070919.10452591,10225.859375
310,3657383.07102706,2071018.59277629,10278.302734375
311,3657391.6625278,2071118.08373647,10331.275390625
312,3657400.26013345,2071217.46284023,10384.7119140625
313,3657408.83882135,2071316.73272207,10438.833984375
314,3657417.43433089,2071416.00092214,10493.62890625
315,3657426.00496003,2071515.27183153,10549.0341796875
316,3657434.58644887,2071614.65299081,10605.0048828125
317,3657259.66104866,2068426.00989178,8790.4677734375
318,3657268.30458782,2068525.82688854,8863.708984375
319,3657276.9054176,2068625.20326957,8937.4677734375
320,3657285.47064406,2068724.47218763,9011.732421875
321,3657294.05269875,2068823.73942389,9086.4912109375
322,3657302.62655062,2068923.00761328,9156.09375
323,3657311.21960001,2069022.38517239,9198.6435546875
324,3657319.81042002,2069121.65175493,9242.0810546875
325,3657328.37635118,2069220.92104712,9286.390625
326,3657336.9674523,2069320.18777929,9331.458984375
327,3657345.54437921,2069419.5673946,9377.373046875
328,3657354.15718966,2069519.05462371,9424.125
329,3657405.68218424,2070114.9941565,9721.529296875
330,3657414.26024022,2070214.37437104,9773.7978515625
331,3657422.85274765,2070313.64185164,9826.2353515625
332,3657431.42037061,2070412.91204151,9878.6806640625
333,3657465.82329758,2070810.64757117,10088.220703125
334,3657474.39162591,2070909.91813507,10140.63671875
335,3657482.985118,2071009.18613928,10193.490234375
336,3657491.55372818,2071108.45685254,10246.669921875
337,3657500.14750138,2071207.72500615,10300.5458984375
338,3657508.71639339,2071306.99586876,10355.107421875
339,3657517.3104477,2071406.26417175,10410.3369140625
340,3657525.87962156,2071505.53518366,10466.09375
341,3657368.19208148,2068516.20330799,8796.2109375
342,3657376.78074446,2068615.46961901,8870.53125
343,3657385.3802591,2068714.84617798,8945.3525390625
344,3657393.94417221,2068814.11527335,9020.6611328125
345,3657402.53325676,2068913.38180902,9065.486328125
346,3657411.17840872,2069013.3103377,9108.4599609375
347,3657419.74274532,2069112.57965801,9152.3251953125
348,3657428.33225228,2069211.84641869,9197.017578125
349,3657436.91355663,2069311.11413232,9242.517578125
350,3657445.48665874,2069410.38279889,9288.87109375
351,3657454.07658714,2069509.64978401,9336.0654296875
352,3657462.6666559,2069608.91684394,9384.0888671875
353,3657488.40433537,2069906.72198489,9533.001953125
354,3657497.03184742,2070006.54197101,9584.2119140625
355,3657505.6142774,2070105.81028335,9636.1884765625
356,3657514.19684799,2070205.07867044,9688.595703125
357,3657522.77121742,2070304.34801034,9741.0126953125
358,3657531.35644137,2070403.72759949,9793.5751953125
359,3657539.95611716,2070502.99445483,9845.8681640625
360,3657565.70831142,2070800.91179034,10003.0751953125
361,3657574.28352559,2070900.18157873,10055.671875
362,3657582.89936503,2070999.78108889,10108.7216796875
363,3657591.47486117,2071099.05102693,10162.3447265625
364,3657600.05883882,2071198.32016167,10216.6650390625
365,3657608.67272745,2071297.80884369,10271.671875
366,3657617.24030563,2071397.0798839,10327.2509765625
367,3657625.83304576,2071496.34836491,10383.455078125
368,3657485.29713458,2068705.55490812,8879.6015625
369,3657493.88462478,2068804.82147206,8932.583984375
370,3657502.46391185,2068904.0889889,8975.0791015625
371,3657511.04570627,2069003.46763206,9018.484375
372,3657519.62527478,2069102.73529864,9062.7841796875
373,3657528.20498386,2069202.00304003,9107.8603515625
374,3657536.81223004,2069301.37927396,9153.8037109375
375,3657545.37553447,2069400.64892108,9200.6044921875
376,3657553.99614063,2069500.24653068,9248.25
377,3657562.5764125,2069599.51457166,9296.7265625
378,3657571.16516745,2069698.78180946,9346.021484375
379,3657579.72903562,2069798.05175594,9396.123046875
380,3657588.33949435,2069897.53949177,9447.0166015625
381,3657596.92032884,2069996.80783205,9498.6904296875
382,3657605.52869957,2070096.18466562,9551.068359375
383,3657614.08478946,2070195.45578931,9603.4541015625
384,3657622.67438773,2070294.72347603,9656.05078125
385,3657631.2557847,2070393.99211543,9708.25
386,3657639.87182953,2070493.70240639,9760.91796875
387,3657648.46422068,2070593.08137042,9813.0791015625
388,3657665.64108441,2070791.84040103,9917.939453125
389,3657674.22318552,2070891.10941466,9970.8701171875
390,3657682.81376811,2070990.37762514,10024.2333984375
391,3657691.40449105,2071089.64591035,10078.3056640625
392,3657699.97867298,2071188.91602595,10133.0771484375
393,3657708.5613363,2071288.1853384,10188.48046875
394,3657717.15248061,2071387.45384772,10244.4677734375
395,3657593.79310546,2068795.19873724,8841.9482421875
396,3657602.3542511,2068894.46811261,8884.876953125
397,3657610.97505854,2068994.17650139,8928.720703125
398,3657619.5531731,2069093.44427094,8973.412109375
399,3657628.15882324,2069192.82053334,9018.931640625
400,3657636.73721883,2069292.08845264,9065.3251953125
401,3657645.32883023,2069391.57767249,9112.580078125
402,3657653.90750736,2069490.84574157,9160.68359375
403,3657662.49466769,2069590.11300762,9209.62109375
404,3657671.07362584,2069689.38122631,9259.380859375
405,3657679.66106695,2069788.64864196,9309.947265625
406,3657688.22362158,2069887.91876587,9361.3095703125
407,3657696.86252541,2069987.62615105,9413.455078125
408,3657705.44204627,2070086.89466921,9465.880859375
409,3657714.02170769,2070186.16326214,9518.3154296875
410,3657722.62056177,2070285.54122673,9570.7431640625
411,3657731.18382104,2070384.8117248,9623.20703125
412,3657739.77224596,2070484.0796643,9675.51171875
413,3657748.36081121,2070583.34767854,9727.908203125
414,3657756.95188636,2070682.72682032,9780.3134765625
415,3657765.515709,2070781.99761736,9833.0830078125
416,3657774.10469585,2070881.26585589,9886.21484375
417,3657782.72832722,2070980.97574803,9940.033203125
418,3657791.31759539,2071080.24413635,9994.5615234375
419,3657799.89032252,2071179.5143548,10049.7822265625
420,3657808.47987158,2071278.78289254,10105.548828125
421,3657817.06122052,2071378.05238267,10161.994140625
422,3657825.65105035,2071477.32106982,10219.10546875
423,3657702.30426672,2068885.28776079,8794.8876953125
424,3657710.88078623,2068984.55555823,8839.177734375
425,3657719.46578956,2069083.82255275,8884.2626953125
426,3657728.05093319,2069183.08962211,8930.236328125
427,3657736.63858143,2069282.46781803,8977.0888671875
428,3657745.19897727,2069381.73767033,9024.8056640625
429,3657753.82737279,2069481.44566086,9073.375
430,3657762.4047362,2069580.71390765,9122.78125
431,3657770.99058269,2069679.98135153,9173.0107421875
432,3657779.57656948,2069779.24887022,9224.0517578125
433,3657788.16269659,2069878.51646372,9275.8896484375
434,3657796.74062184,2069977.78500969,9328.28515625
435,3657805.31034561,2070077.0545081,9380.689453125
436,3657813.88855209,2070176.3232036,9433.3515625
437,3657822.49665831,2070275.81144588,9485.521484375
438,3657831.07514604,2070375.08029107,9538.056640625
439,3657839.69661023,2070474.78991101,9590.38671875
440,3657848.30277159,2070574.16732587,9642.796875
441,3657856.88168144,2070673.43639574,9695.2841796875
442,3657865.45239065,2070772.70641794,9748.294921875
443,3657874.04229124,2070872.08581259,9801.849609375
444,3657882.62996394,2070971.35422912,9856.126953125
445,3657891.23085574,2071070.84394897,9911.1171875
446,3657899.81880945,2071170.1125151,9966.701171875
447,3657908.38188174,2071269.38378866,10022.9296875
448,3657916.97845689,2071368.65162665,10079.837890625
449,3657810.81879214,2068975.2667226,8749.806640625
450,3657819.41304682,2069074.64399414,8795.3466796875
451,3657827.98839337,2069173.9120443,8841.783203125
452,3657836.55553744,2069273.18104687,8889.1015625
453,3657845.13116519,2069372.44924665,8937.2880859375
454,3657853.71763944,2069471.82769554,8986.330078125
455,3657862.31023372,2069571.09428987,9036.2119140625
456,3657870.90769547,2069670.5830631,9086.9208984375
457,3657879.49222795,2069769.85068481,9138.4423828125
458,3657888.07690073,2069869.11838133,9190.7626953125
459,3657896.69383379,2069968.71667678,9243.177734375
460,3657905.27044552,2070067.98540068,9295.662109375
461,3657913.84719778,2070167.25419935,9347.947265625
462,3657922.44313947,2070266.63237023,9400.591796875
463,3657931.0285145,2070365.90044102,9452.751953125
464,3657939.60568827,2070465.16946407,9505.1669921875
465,3657948.17466112,2070564.43943935,9557.58984375
466,3657956.76282371,2070663.81878718,9610.4765625
467,3657965.34876054,2070763.08715705,9663.759765625
468,3657973.93483766,2070862.35560168,9717.7802734375
469,3657982.56625438,2070962.17587625,9772.525390625
470,3657991.15261289,2071061.44447075,9827.92578125
471,3657999.73077099,2071160.71401742,9883.9326171875
472,3658008.3174102,2071259.98276136,9940.6298828125
473,3658016.90418971,2071359.25158002,9998.005859375
474,3657919.2819047,2069064.91878459,8706.6708984375
475,3657927.86414013,2069164.18605982,8753.578125
476,3657936.45721992,2069263.56358416,8801.37109375
477,3657945.02305021,2069362.8327641,8850.03515625
478,3657953.66757143,2069462.65025857,8899.5576171875
479,3657962.24202625,2069561.9187111,8949.9228515625
480,3657970.82496415,2069661.186361,9001.1181640625
481,3657979.40804232,2069760.45408571,9053.1279296875
482,3657987.99126077,2069859.72188524,9105.5419921875
483,3657996.56627731,2069958.99063698,9157.96484375
484,3658005.14977643,2070058.2585861,9210.490234375
485,3658013.72507389,2070157.5274874,9262.8359375
486,3658022.30885368,2070256.79558609,9315.23046875
487,3658030.89277375,2070356.06375955,9367.6142578125
488,3658039.5243854,2070455.9948141,9420.0068359375
489,3658048.11692856,2070555.26226024,9472.6728515625
490,3658056.69292907,2070654.53153585,9525.767578125
491,3658065.27741132,2070753.80000886,9579.5224609375
492,3658073.87274014,2070853.17873221,9634.015625
493,3658082.45750307,2070952.4473548,9689.2275390625
494,3658091.03406543,2071051.71692943,9745.0048828125
495,3658099.61910904,2071150.98570147,9801.4853515625
496,3658019.22946887,2069055.74339889,8618.244140625
497,3658027.81025037,2069155.01077727,8665.62890625
498,3658036.38282907,2069254.27910783,8713.904296875
499,3658044.96389121,2069353.54663588,8763.0546875
500,3658053.55579636,2069452.92441333,8813.0654296875
501,3658062.15382453,2069552.19033652,8863.9228515625
502,3658070.72696478,2069651.45896647,8915.611328125
503,3658079.31929114,2069750.83696874,8967.9931640625
504,3658087.90105474,2069850.10487111,9020.3837890625
505,3658096.50436547,2069949.59319822,9073.0546875
506,3658105.09947493,2070049.08247775,9125.19140625
507,3658113.68165998,2070148.35060484,9177.828125
508,3658122.26634731,2070247.7298592,9230.033203125
509,3658130.84881314,2070346.99813594,9282.466796875
510,3658139.42307764,2070446.26736468,9334.9091796875
511,3658147.99748264,2070545.53666819,9387.8779296875
512,3658156.59941525,2070644.91446756,9441.3583984375
513,3658165.17410115,2070744.18392065,9495.5908203125
514,3658173.75726865,2070843.45257128,9550.5625
515,3658182.40480537,2070943.38235155,9606.150390625
516,3658190.98825422,2071042.65115216,9662.408203125
517,3658110.54449296,2068946.75132223,8483.1083984375
518,3658119.12367958,2069046.01872844,8530.072265625
519,3658127.71370716,2069145.39638394,8577.9443359375
520,3658136.28483134,2069244.66481715,8626.7099609375
521,3658144.8727819,2069343.93157079,8676.3544921875
522,3658153.50005075,2069443.86207899,8726.8623046875
523,3658162.10496792,2069543.12722846,8778.21875
524,3658170.67665427,2069642.3959615,8830.4091796875
525,3658179.25682357,2069741.66389218,8882.8427734375
526,3658187.83713312,2069840.93189768,8935.28515625
527,3658196.40924069,2069940.20085514,8987.6650390625
528,3658204.98983084,2070039.46901024,9040.1943359375
529,3658213.56221926,2070138.73811727,9092.443359375
530,3658222.15977373,2070238.00466771,9144.845703125
531,3658230.74078449,2070337.2730472,9197.2568359375
532,3658239.37544807,2070437.09237911,9250.0947265625
533,3658247.94839852,2070536.36178566,9303.2919921875
534,3658256.52148946,2070635.63126697,9357.2568359375
535,3658265.11140336,2070734.89906886,9411.9736328125
536,3658273.6954781,2070834.27887553,9467.3720703125
537,3658282.27733138,2070933.54770409,9523.3994140625
538,3658290.87600667,2071032.81485328,9580.142578125
